observation_id	experiment	analysis_id	au	runtime_au	plot_label	ilmn_measured_token	ont_measured_token	caller	tp_base	tp_comp	fn	fp	precision	recall	fscore	gt_concordance	base_count	query_count	source_path
OBS08	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	p5xp5	HG002-082hc3dnbehb1c	E1:p5xp5	8.54	0.57	LongReadSV	1126	1126	27019	260	0.8124098124098124	0.040007106057914375	0.07625884663573872	0.44582593250444047	28145	1386	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-082hc3dnbehb1c/queries/longreadsv/truvari/summary.json
OBS08	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	p5xp5	HG002-082hc3dnbehb1c	E1:p5xp5	8.54	0.57	Sniffles2	184	184	27961	8	0.9583333333333334	0.006537573281222242	0.012986554681158908	0.5108695652173914	28145	192	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-082hc3dnbehb1c/queries/sniffles2/truvari/summary.json
OBS08	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	p5xp5	HG002-082hc3dnbehb1c	E1:p5xp5	8.54	0.57	TrussSV	2862	2862	25283	347	0.8918666251168589	0.10168768875466334	0.18256043885947565	0.7375960866526904	28145	3209	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-082hc3dnbehb1c/queries/tagged_trussv/truvari/summary.json
OBS08	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	p5xp5	HG002-082hc3dnbehb1c	E1:p5xp5	8.54	0.57	TIDDIT	2924	2924	25221	1997	0.5941881731355415	0.10389056670811866	0.17685840440331455	0.8816689466484268	28145	4921	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-082hc3dnbehb1c/queries/tiddit/truvari/summary.json
OBS09	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	1x1	HG002-98xq4xrqz7dwy9	E1:1x1	9.85	1.16	LongReadSV	3115	3115	25030	723	0.8116206357477853	0.11067685201634393	0.19479098270956446	0.5113964686998395	28145	3838	results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-98xq4xrqz7dwy9/queries/longreadsv/truvari/summary.json
OBS09	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	1x1	HG002-98xq4xrqz7dwy9	E1:1x1	9.85	1.16	Sniffles2	794	794	27351	44	0.9474940334128878	0.02821104992005685	0.05479073939895801	0.5591939546599496	28145	838	results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-98xq4xrqz7dwy9/queries/sniffles2/truvari/summary.json
OBS09	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	1x1	HG002-98xq4xrqz7dwy9	E1:1x1	9.85	1.16	TrussSV	4568	4568	23577	889	0.8370899761773869	0.16230236276425652	0.27188857806082967	0.6464535901926445	28145	5457	results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-98xq4xrqz7dwy9/queries/tagged_trussv/truvari/summary.json
OBS09	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	1x1	HG002-98xq4xrqz7dwy9	E1:1x1	9.85	1.16	TIDDIT	2921	2921	25224	1995	0.5941822620016274	0.10378397583940309	0.17670366897553008	0.8815474152687436	28145	4916	results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-98xq4xrqz7dwy9/queries/tiddit/truvari/summary.json
OBS10	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	3x3	HG002-871vyxbnp4n81v	E1:3x3	11.93	4.09	LongReadSV	12403	12403	15742	2775	0.8171695875609435	0.44068218155977973	0.5725826927959745	0.6545190679674272	28145	15178	results/day/hg38/HG002-871vyxbnp4n81v/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-871vyxbnp4n81v/queries/longreadsv/truvari/summary.json
OBS10	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	3x3	HG002-871vyxbnp4n81v	E1:3x3	11.93	4.09	Sniffles2	7485	7485	20660	471	0.9407993966817496	0.26594421744537217	0.4146699537408936	0.6944555778223113	28145	7956	results/day/hg38/HG002-871vyxbnp4n81v/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-871vyxbnp4n81v/queries/sniffles2/truvari/summary.json
OBS10	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	3x3	HG002-871vyxbnp4n81v	E1:3x3	11.93	4.09	TrussSV	12856	12856	15289	3590	0.7817098382585431	0.4567774027358323	0.5766186001659528	0.6816272557560672	28145	16446	results/day/hg38/HG002-871vyxbnp4n81v/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-871vyxbnp4n81v/queries/tagged_trussv/truvari/summary.json
OBS10	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	3x3	HG002-871vyxbnp4n81v	E1:3x3	11.93	4.09	TIDDIT	2927	2927	25218	1989	0.5954027664768105	0.10399715757683425	0.1770666344030731	0.8811069354287666	28145	4916	results/day/hg38/HG002-871vyxbnp4n81v/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-871vyxbnp4n81v/queries/tiddit/truvari/summary.json
OBS11	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	5x5	HG002-vqs89p8gahfwf9	E1:5x5	12.71	6.20	LongReadSV	15604	15604	12541	3442	0.8192796387692954	0.5544146384793036	0.6613125384077472	0.7048192771084337	28145	19046	results/day/hg38/HG002-vqs89p8gahfwf9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-vqs89p8gahfwf9/queries/longreadsv/truvari/summary.json
OBS11	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	5x5	HG002-vqs89p8gahfwf9	E1:5x5	12.71	6.20	Sniffles2	11812	11812	16333	928	0.9271585557299843	0.41968378042281046	0.5778158248746484	0.7456823569251608	28145	12740	results/day/hg38/HG002-vqs89p8gahfwf9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-vqs89p8gahfwf9/queries/sniffles2/truvari/summary.json
OBS11	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	5x5	HG002-vqs89p8gahfwf9	E1:5x5	12.71	6.20	TrussSV	15936	15936	12209	4538	0.7783530331151705	0.5662106946171611	0.6555461856475863	0.7345632530120482	28145	20474	results/day/hg38/HG002-vqs89p8gahfwf9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-vqs89p8gahfwf9/queries/tagged_trussv/truvari/summary.json
OBS11	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	5x5	HG002-vqs89p8gahfwf9	E1:5x5	12.71	6.20	TIDDIT	2930	2930	25215	1997	0.5946823624923889	0.10410374844554983	0.17718916303821963	0.8808873720136519	28145	4927	results/day/hg38/HG002-vqs89p8gahfwf9/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-vqs89p8gahfwf9/queries/tiddit/truvari/summary.json
OBS12	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	10x5	HG002-fjg1n22920ymw4	E1:10x5	13.65	9.67	LongReadSV	17863	17863	10282	3699	0.8284481959001948	0.6346775626221354	0.718731768161426	0.7436040978559033	28145	21562	results/day/hg38/HG002-fjg1n22920ymw4/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-fjg1n22920ymw4/queries/longreadsv/truvari/summary.json
OBS12	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	10x5	HG002-fjg1n22920ymw4	E1:10x5	13.65	9.67	Sniffles2	15685	15685	12460	1364	0.919995307642677	0.5572925919346242	0.6941186883214586	0.7963021995537137	28145	17049	results/day/hg38/HG002-fjg1n22920ymw4/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-fjg1n22920ymw4/queries/sniffles2/truvari/summary.json
OBS12	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	10x5	HG002-fjg1n22920ymw4	E1:10x5	13.65	9.67	TrussSV	18075	18075	10070	5152	0.7781891763895467	0.6422099840113696	0.703690726465779	0.785283540802213	28145	23227	results/day/hg38/HG002-fjg1n22920ymw4/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-fjg1n22920ymw4/queries/tagged_trussv/truvari/summary.json
OBS12	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	10x5	HG002-fjg1n22920ymw4	E1:10x5	13.65	9.67	TIDDIT	2926	2926	25219	1995	0.5945945945945946	0.1039616272872624	0.176979374584165	0.8807245386192755	28145	4921	results/day/hg38/HG002-fjg1n22920ymw4/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-fjg1n22920ymw4/queries/tiddit/truvari/summary.json
OBS14	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	14.01	11.43	LongReadSV	18456	18456	9689	3683	0.8336419892497403	0.6557470243382484	0.7340704796754436	0.7540637191157347	28145	22139	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-bq765db79mczvn/queries/longreadsv/truvari/summary.json
OBS14	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	14.01	11.43	Sniffles2	16686	16686	11459	1452	0.9199470724445915	0.5928584117960561	0.7210422833437763	0.8102001678053458	28145	18138	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-bq765db79mczvn/queries/sniffles2/truvari/summary.json
OBS14	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	14.01	11.43	TrussSV	18709	18709	9436	5188	0.7829016194501401	0.6647361875999289	0.7189961953806541	0.8004703618579293	28145	23897	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-bq765db79mczvn/queries/tagged_trussv/truvari/summary.json
