observation_id	experiment	analysis_id	au	runtime_au	plot_label	ilmn_measured_token	ont_measured_token	SMN1_CN	SMN2_CN	SMN2delta7_8_CN	Total_CN_raw	Full_length_CN_raw	g27134TG_CN	isSMA	isCarrier	Info	Median_depth	source_path
OBS01	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	p5xp5	HG002-5r2pnnjbw114ye	E2:p5xp5	0.11	0.57	NA	NA	0	4.118	4.519	NA	False	False	Ambiguous	0.6	results/day/hg38/HG002-5r2pnnjbw114ye/align/sentdhiomr2sr/smd/htd/smn12/HG002-5r2pnnjbw114ye.sentdhiomr2sr.smd.smn12.summary.json
OBS02	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	1x1	HG002-dhcejhqjtfa8my	E2:1x1	0.27	1.16	NA	NA	0	4.197	4.178	NA	False	False	Ambiguous	1.21	results/day/hg38/HG002-dhcejhqjtfa8my/align/sentdhiomr2sr/smd/htd/smn12/HG002-dhcejhqjtfa8my.sentdhiomr2sr.smd.smn12.summary.json
OBS03	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	3x3	HG002-pw12ff0qe3akkp	E2:3x3	1.01	2.96	NA	NA	0	4.159	3.666	NA	False	NA	Ambiguous	3.62	results/day/hg38/HG002-pw12ff0qe3akkp/align/sentdhiomr2sr/smd/htd/smn12/HG002-pw12ff0qe3akkp.sentdhiomr2sr.smd.smn12.summary.json
OBS04	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	5x5	HG002-qp0pfqh42zyaqs	E2:5x5	1.82	5.17	NA	NA	0	4.08	3.739	0	False	NA	Ambiguous	6.12	results/day/hg38/HG002-qp0pfqh42zyaqs/align/sentdhiomr2sr/smd/htd/smn12/HG002-qp0pfqh42zyaqs.sentdhiomr2sr.smd.smn12.summary.json
OBS05	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	10x5	HG002-tb1jdkbzdpwenh	E2:10x5	3.50	5.17	2	2	0	4.048	3.974	0	False	False	PASS:AgreeWithSum	12.16	results/day/hg38/HG002-tb1jdkbzdpwenh/align/sentdhiomr2sr/smd/htd/smn12/HG002-tb1jdkbzdpwenh.sentdhiomr2sr.smd.smn12.summary.json
OBS06	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x5	HG002-56db7xrgpanwkk	E2:15x5	4.96	5.17	2	2	0	4.005	3.883	0	False	False	PASS:AgreeWithSum	18.2	results/day/hg38/HG002-56db7xrgpanwkk/align/sentdhiomr2sr/smd/htd/smn12/HG002-56db7xrgpanwkk.sentdhiomr2sr.smd.smn12.summary.json
OBS07	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x10	HG002-p2tc9mz7wbv628	E2:15x10	5.47	10.05	2	2	0	4.005	3.883	0	False	False	PASS:AgreeWithSum	18.2	results/day/hg38/HG002-p2tc9mz7wbv628/align/sentdhiomr2sr/smd/htd/smn12/HG002-p2tc9mz7wbv628.sentdhiomr2sr.smd.smn12.summary.json
OBS08	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	p5xp5	HG002-082hc3dnbehb1c	E1:p5xp5	8.54	0.57	2	2	0	3.867	3.861	0	False	False	PASS:Majority	53.15	results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2sr/smd/htd/smn12/HG002-082hc3dnbehb1c.sentdhiomr2sr.smd.smn12.summary.json
OBS09	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	1x1	HG002-98xq4xrqz7dwy9	E1:1x1	9.85	1.16	2	2	0	3.867	3.861	0	False	False	PASS:Majority	53.15	results/day/hg38/HG002-98xq4xrqz7dwy9/align/sentdhiomr2sr/smd/htd/smn12/HG002-98xq4xrqz7dwy9.sentdhiomr2sr.smd.smn12.summary.json
OBS10	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	3x3	HG002-871vyxbnp4n81v	E1:3x3	11.93	4.09	2	2	0	3.867	3.861	0	False	False	PASS:Majority	53.15	results/day/hg38/HG002-871vyxbnp4n81v/align/sentdhiomr2sr/smd/htd/smn12/HG002-871vyxbnp4n81v.sentdhiomr2sr.smd.smn12.summary.json
